Name,Platform,Year_of_Release,Publisher,NA_Sales,EU_Sales,Other_Sales
Fire Pro Wrestling Returns,PS2,2005,505 Games,0.04,0.03,0.01
Terraria,3DS,2016,505 Games,0,0.04,0
Harvest Moon: A Wonderful Life Special Edition,PS2,2004,505 Games,0.09,0.07,0.02
World Championship Poker: Deluxe Series,DS,2005,505 Games,0.07,0,0.01
Classic Action: Devilish,DS,2005,505 Games,0.06,0,0
Rocket League,XOne,2016,505 Games,0.05,0.17,0.02
Magna Carta: Tears of Blood,PS2,2004,505 Games,0.11,0.08,0.03
Rocket League,PS4,2016,505 Games,0.03,0.28,0.05
Steambot Chronicles,PS2,2005,505 Games,0.02,0.01,0
River King: Wonderful Journey,PS2,2005,505 Games,0.01,0.01,0
¡Shin Chan Flipa en colores!,DS,2007,505 Games,0,0,0
Brunswick Pro Bowling,Wii,2007,505 Games,0.35,0.01,0.03
Brunswick Pro Bowling,PS2,2007,505 Games,0.2,0.15,0.05
Smart Girl's Playhouse,DS,2007,505 Games,0.24,0,0.02
Armored Core 4,X360,2007,505 Games,0.19,0.01,0.02
Hooked! Real Motion Fishing,Wii,2007,505 Games,0.21,0,0.02
Brunswick Pro Bowling,PSP,2007,505 Games,0.19,0,0.02
Professional Fisherman's Tour: Northern Hemisphere,DS,2007,505 Games,0.16,0,0.01
Terraria,XOne,2014,505 Games,0,0.04,0
Spelling Challenges and more!,DS,2007,505 Games,0.54,0,0.04
Left Brain Right Brain: Use Both Hands Train Both Sides,DS,2007,505 Games,0.15,0,0.01
Muv-Luv Alternative,PS3,2012,5pb,0,0,0
Memories Off 6: Next Relation,PS2,2009,5pb,0,0,0
Chaos;Head - Love Chu*Chu!,PSP,2011,5pb,0,0,0
Phantom Breaker,X360,2011,5pb,0.02,0,0
Hanasaku Manimani,PSV,2014,5pb,0,0,0
Prism Ark: Awake,PS2,2008,5pb,0,0,0
Steins;Gate 0,PS3,2015,5pb,0,0,0
Night Wizard the Video Game: Denial of the World,PS2,2008,5pb,0,0,0
Steins;Gate: Hiyoku Renri no Darling,PSP,2012,5pb,0,0,0
Memories Off,PSP,2008,5pb,0,0,0
11eyes: CrossOver,X360,2009,5pb,0,0,0
Kanokon: Esuii,PS2,2008,5pb,0,0,0
Dunamis 15,PS3,2011,5pb,0,0,0
DoDonPachi Dai-Oujou: Black Label Extra,X360,2009,5pb,0,0,0
Chaos;Child,PS3,2015,5pb,0,0,0
Akatsuki no Goei Trinity,PS3,2012,5pb,0,0,0
Corpse Party: Book of Shadows,PSP,2011,5pb,0,0,0
Memories Off: Yubikiri no Kikou,PSP,2011,5pb,0,0,0
Akatsuki no Goei Trinity,PSP,2012,5pb,0,0,0
Chaos;Child,PS4,2015,5pb,0,0,0
Dunamis 15,X360,2011,5pb,0,0,0
Yahari Game Demo Ore no Seishun Love-Kome Hamachi Gatteiru,PSV,2013,5pb,0,0,0
Infinite Stratos 2: Love and Purge,PSV,2015,5pb,0,0,0
Steins;Gate: Hiyoku Renri no Darling,PS3,2012,5pb,0,0,0
Steins;Gate,X360,2009,5pb,0,0,0
Robotics;Notes,X360,2012,5pb,0,0,0
Chaos;Head Noah,X360,2009,5pb,0,0,0
Ano Hi Mita Hana no Namae o Bokutachi wa Mada Shiranai,PSP,2012,5pb,0,0,0
Bullet Soul: Tama Tamashii,X360,2011,5pb,0,0,0
Lovely x Cation 1 & 2,PSV,2015,5pb,0,0,0
Saenai Kanojo no Sodatekata: Blessing Flowers,PSV,2015,5pb,0,0,0
Steins;Gate: Senkei Kousoku no Phonogram,X360,2013,5pb,0,0,0
Robotics;Notes,PS3,2012,5pb,0,0,0
Infinite Stratos 2: Ignition Hearts,PSV,2014,5pb,0,0,0
Yahari Game Demo Ore no Seishun Love-Kome wa Machigatteiru. Zoku,PSV,2016,5pb,0,0,0
Memories Off: Yubikiri no Kioku,X360,2010,5pb,0,0,0
Gochuumon wa Usagi Desu ka?? Wonderful Party!,PSV,2016,5pb,0,0,0
Muv-Luv Alternative: Total Eclipse,PS3,2013,5pb,0,0,0
Corpse Party: Blood Covered - Repeated Fear,3DS,2015,5pb,0,0,0
Ketsui: Kizuna Jigoku Tachi Extra,X360,2010,5pb,0,0,0
MuvLuv Double Pack,PSV,2016,5pb,0,0,0
Lucian Bee's: Resurrection Supernova,PS2,2009,5pb,0,0,0
Lucian Bee's: Justice Yellow / Evil Violet,PS2,2010,5pb,0,0,0
Steins;Gate: Senkei Kousoku no Phonogram,PS3,2013,5pb,0,0,0
Corpse Party: Blood Covered - Repeated Fear,PSP,2010,5pb,0,0,0
Chaos;Head - Love Chu*Chu!,X360,2010,5pb,0,0,0
Chaos;Head Noah,PSP,2010,5pb,0,0,0
Pastel Chime Continue,PSP,2010,5pb,0,0,0
11eyes: CrossOver,PSP,2010,5pb,0,0,0
Nyaruko-San: Nafushigatai Game no You na Mono,PSV,2013,5pb,0,0,0
Memories Off #5: Togireta Film,PSP,2009,5pb,0,0,0
Chaos;Head Noah,PSV,2014,5pb,0,0,0
Chaos;Child,PSV,2015,5pb,0,0,0
Psycho-Pass,XOne,2014,5pb,0,0,0
Kadenz fermata//Akkord:fortissimo,PSV,2014,5pb,0,0,0
New Tokyo Legacy: Operation Babel,PSV,2015,5pb,0,0,0
Robotics;Notes,PSV,2014,5pb,0,0,0
W.L.O. Sekai Renai Kikousen,X360,2010,5pb,0,0,0
Memories Off 6: T-Wave,PS2,2008,5pb,0,0,0
Steins;Gate: Hiyoku Renri no Darling,X360,2011,5pb,0,0,0
Infinite Stratos 2: Ignition Hearts,PS3,2014,5pb,0,0,0
TV Total Events,Wii,2011,7G//AMES,0,0.02,0
Germany's Next Topmodel 2011,DS,2011,7G//AMES,0,0.01,0
Germany's Next Topmodel 2011,Wii,2011,7G//AMES,0,0.02,0
NCAA Final Four 2000,PS,1999,989 Sports,0.21,0.14,0.02
Cool Boarders 4,PS,1998,989 Studios,0.65,0.44,0.08
Running Wild,PS,1997,989 Studios,0.05,0.03,0.01
NFL GameDay 99,PS,1998,989 Studios,1.44,0.05,0.04
NFL Xtreme 2,PS,1999,989 Studios,0.27,0.18,0.03
Twisted Metal III,PS,1998,989 Studios,1.48,0.2,0.05
NHL FaceOff 99,PS,1997,989 Studios,0.24,0.16,0.03
Cool Boarders 3,PS,1998,989 Studios,1.65,0.46,0.1
NCAA Gamebreaker 99,PS,1998,989 Studios,0.25,0.17,0.03
3Xtreme,PS,1999,989 Studios,0.5,0.34,0.06
Rally Cross 2,PS,1998,989 Studios,0.19,0.13,0.02
Twisted Metal 4,PS,1999,989 Studios,1.07,0.16,0.04
NCAA GameBreaker 2000,PS,1999,989 Studios,0.22,0.15,0.03
NBA ShootOut 2000,PS,1999,989 Studios,0.22,0.15,0.03
NFL GameDay 2000,PS,1999,989 Studios,1,0.68,0.12
