Name,Platform,Year_of_Release,Publisher,NA_Sales,EU_Sales,Other_Sales
Silent Hill,PS,1999,Konami Digital Entertainment,0.71,0.48,0.1
Blades of Time,PS3,2012,Konami Digital Entertainment,0.04,0.03,0.01
Karaoke Revolution Presents American Idol Encore 2,PS3,2008,Konami Digital Entertainment,0.11,0,0.01
Jikkyou Powerful Pro Yakyuu 2013,PSV,2013,Konami Digital Entertainment,0,0,0
BeatMania Append GottaMix,PS,1999,Konami Digital Entertainment,0,0,0.02
Hellboy: The Science of Evil,X360,2008,Konami Digital Entertainment,0.1,0,0.01
Pro Evolution Soccer 2008 (JP sales),DS,2007,Konami Digital Entertainment,0,0,0
Pro Evolution Soccer 2012,PS3,2011,Konami Digital Entertainment,0.34,0.96,0.33
Yu-Gi-Oh! Dark Duel Stories,GB,2000,Konami Digital Entertainment,0,0,0
Pro Evolution Soccer 2013,Wii,2012,Konami Digital Entertainment,0,0.03,0
ESPN Winter X Games: Snowboarding 2002,PS2,2000,Konami Digital Entertainment,0.1,0.08,0.03
Jikkyou Powerful Pro Yakyuu 2012,PSV,2012,Konami Digital Entertainment,0,0,0
Teenage Mutant Ninja Turtles: Tournament Fighters,NES,1992,Konami Digital Entertainment,0.04,0.01,0
Death Jr. and the Science Fair of Doom,DS,2007,Konami Digital Entertainment,0.08,0,0.01
K-1 World Grand Prix,PS2,2002,Konami Digital Entertainment,0.04,0.03,0.01
Castlevania: Symphony of the Night,PS,1997,Konami Digital Entertainment,0.58,0.4,0.08
Pro Evolution Soccer 2013,PC,2012,Konami Digital Entertainment,0,0.07,0.01
MLB Power Pros 2008,Wii,2008,Konami Digital Entertainment,0.11,0,0.01
Contra 4,DS,2007,Konami Digital Entertainment,0.28,0,0.02
Ring of Red,PS2,2000,Konami Digital Entertainment,0.06,0.04,0.01
Dance Dance Revolution Universe,X360,2007,Konami Digital Entertainment,0.3,0,0.02
Jikkyou Powerful Pro Yakyuu 15,Wii,2008,Konami Digital Entertainment,0,0,0
Jikkyou Powerful Pro Yakyuu 7,PS2,2000,Konami Digital Entertainment,0,0,0
ESPN International Winter Sports 2002,GC,2002,Konami Digital Entertainment,0.04,0.01,0
L: the proLogue to DEATH NOTE - Rasen no Wana,DS,2008,Konami Digital Entertainment,0,0,0
Jikkyou Powerful Pro Yakyuu 14,PS2,2007,Konami Digital Entertainment,0,0,0
Fishing Master,Wii,2007,Konami Digital Entertainment,0.29,0,0.02
Karaoke Revolution Presents American Idol Encore,PS3,2008,Konami Digital Entertainment,0.08,0,0.01
Karaoke Revolution Presents American Idol Encore 2,X360,2008,Konami Digital Entertainment,0.08,0,0.01
J-League Winning Eleven 2007: Club Championship,PS2,2007,Konami Digital Entertainment,0,0,0
Suikoden: Tsumugareshi Hyakunen no Toki,PSP,2012,Konami Digital Entertainment,0,0,0
New Love Plus,3DS,2012,Konami Digital Entertainment,0,0,0
Pro Evolution Soccer 2014,PC,2013,Konami Digital Entertainment,0,0.1,0.01
Power Pro Kun Pocket 10,DS,2007,Konami Digital Entertainment,0,0,0
NeverDead,PS3,2012,Konami Digital Entertainment,0.06,0.04,0.02
Fisherman's Challenge,PS2,2003,Konami Digital Entertainment,0.02,0.02,0.01
Tokimeki Memorial Girl's Side Premium: 3rd Story,PSP,2012,Konami Digital Entertainment,0,0,0
Frogger's Adventures 2: The Lost Wand,GBA,2002,Konami Digital Entertainment,0.14,0.05,0
Cy Girls,PS2,2004,Konami Digital Entertainment,0.02,0.01,0
Blades of Time,X360,2012,Konami Digital Entertainment,0.07,0.02,0.01
MLB Power Pros,Wii,2007,Konami Digital Entertainment,0.23,0,0.02
Rock Revolution,DS,2008,Konami Digital Entertainment,0.1,0,0.01
NeverDead,X360,2012,Konami Digital Entertainment,0.06,0.03,0.01
International Superstar Soccer 2000 (JP weekly sales),N64,1999,Konami Digital Entertainment,0,0,0
Suikoden Tierkreis,DS,2008,Konami Digital Entertainment,0.09,0.01,0.01
Power Pro Kun Pocket 11,DS,2008,Konami Digital Entertainment,0,0,0
Frogger Beyond,GC,2002,Konami Digital Entertainment,0.1,0.03,0
Rock Revolution,X360,2008,Konami Digital Entertainment,0.25,0,0.02
Silent Hill: Downpour,X360,2012,Konami Digital Entertainment,0.22,0.08,0.02
Pro Evolution Soccer 2008,X360,2007,Konami Digital Entertainment,0.08,0.9,0.05
Silent Hill HD Collection,PS3,2012,Konami Digital Entertainment,0.15,0.1,0.04
UEFA Euro 2016,PS3,2016,Konami Digital Entertainment,0,0.04,0.01
DEATH NOTE: Kira Game,DS,2007,Konami Digital Entertainment,0,0,0
Crypt Killer,PS,1997,Konami Digital Entertainment,0.02,0.01,0
Jikkyou Powerful Pro Yakyuu 14 Ketteiban,PS2,2007,Konami Digital Entertainment,0,0,0
Marvel Trading Card Game,DS,2007,Konami Digital Entertainment,0.11,0,0.01
Pro Evolution Soccer 2013,X360,2012,Konami Digital Entertainment,0.08,0.2,0.03
Penguin no Mondai: Saikyou Penguin Densetsu! A Penguin's Troubles,DS,2008,Konami Digital Entertainment,0,0,0
Motocross Maniacs Advance,GBA,2002,Konami Digital Entertainment,0.2,0.07,0
Jikkyou Powerful Pro Yakyuu Portable 2,PSP,2007,Konami Digital Entertainment,0,0,0
Boktai 2: Solar Boy Django,GBA,2004,Konami Digital Entertainment,0.03,0.01,0
Disney Sports Soccer,GBA,2002,Konami Digital Entertainment,0.02,0.01,0
Jikkyou Powerful Pro Yakyuu 2011,PS3,2011,Konami Digital Entertainment,0,0,0
ESPN Winter X Games: Snowboarding 2002,XB,2002,Konami Digital Entertainment,0.02,0.01,0
Contra Advance: The Alien Wars EX,GBA,2002,Konami Digital Entertainment,0.08,0.03,0
Yu-Gi-Oh! The Sacred Cards (JP weekly sales),GBA,2002,Konami Digital Entertainment,0,0,0.01
World Soccer Jikkyou Winning Eleven 2000: U-23 Medal heno Chousen,PS,2000,Konami Digital Entertainment,0,0,0.03
J-League Jikkyou Winning Eleven 3,PS,1997,Konami Digital Entertainment,0,0,0.01
Castlevania: Lords of Shadow 2,X360,2014,Konami Digital Entertainment,0.02,0.06,0.01
Pro Yaky? Spirits 2014,PS3,2014,Konami Digital Entertainment,0,0,0
Karaoke Revolution Presents American Idol Encore 2,Wii,2008,Konami Digital Entertainment,0.3,0,0.02
Poy Poy,PS,1997,Konami Digital Entertainment,0.01,0.01,0
Dance Dance Revolution: Hottest Party,Wii,2007,Konami Digital Entertainment,1.35,0.52,0.19
Zone of the Enders HD Collection,PS3,2012,Konami Digital Entertainment,0.21,0.07,0.05
Fishing Master (jp sales),Wii,2007,Konami Digital Entertainment,0,0,0
Evolution Snowboarding,PS2,2002,Konami Digital Entertainment,0.01,0.01,0
Jikkyou Powerful Pro Yakyuu 2000 Ketteiban,PS,2000,Konami Digital Entertainment,0,0,0.01
The Final Round,PS,1996,Konami Digital Entertainment,0.04,0.03,0
GTI Club: Supermini Festa!,Wii,2010,Konami Digital Entertainment,0.01,0,0
Lost in Blue 2,DS,2007,Konami Digital Entertainment,0.01,0.01,0
Pro Yaky? Spirits 4,PS3,2007,Konami Digital Entertainment,0,0,0
Pro Evolution Soccer 2008,PS3,2007,Konami Digital Entertainment,0.04,1.1,0.13
Metal Gear Solid HD Edition,PSV,2012,Konami Digital Entertainment,0.12,0.16,0.06
Suikoden,PS,1995,Konami Digital Entertainment,0.21,0.14,0.04
Power Pro Kun Pocket 4,GBA,2002,Konami Digital Entertainment,0,0,0.01
Quiz Magic Academy DS,DS,2008,Konami Digital Entertainment,0,0,0
ESPN International Winter Sports 2002,PS2,2002,Konami Digital Entertainment,0.03,0.02,0.01
Jikkyou Powerful Pro Yakyuu Portable 3,PSP,2008,Konami Digital Entertainment,0,0,0
Castlevania: Lords of Shadow - Mirror of Fate,3DS,2013,Konami Digital Entertainment,0.04,0.07,0.01
Metal Gear Solid: Snake Eater 3D,3DS,2012,Konami Digital Entertainment,0.15,0.11,0.02
AirForce Delta Storm,GBA,2002,Konami Digital Entertainment,0.02,0.01,0
MLB Power Pros,PS2,2007,Konami Digital Entertainment,0,0,0
Jikkyou Powerful Pro Yakyuu 2000,N64,2000,Konami Digital Entertainment,0,0,0.06
Diary Girl,DS,2008,Konami Digital Entertainment,0.01,0,0
Dance Dance Revolution Universe 3,X360,2008,Konami Digital Entertainment,0.28,0,0.02
NBA Starting Five,XB,2002,Konami Digital Entertainment,0.02,0.01,0
Jurassic Park: Operation Genesis,XB,2003,Konami Digital Entertainment,0.05,0.01,0
Otomedius Gorgeous,X360,2008,Konami Digital Entertainment,0,0,0
Pro Yakyuu Spirits 5 Kanzenban,PS3,2008,Konami Digital Entertainment,0,0,0
DrumMania,PS2,2000,Konami Digital Entertainment,0,0,0
BeatMania IIDX 14 Gold,PS2,2008,Konami Digital Entertainment,0,0,0
Disney Sports Soccer,GC,2002,Konami Digital Entertainment,0.03,0.01,0
Broken Helix,PS,1997,Konami Digital Entertainment,0.03,0.02,0
Hayate no Gotoku! Ojousama Produce Daisakusen Boku Iro ni Somare! Oyashiki-Hen,DS,2008,Konami Digital Entertainment,0,0,0
Yu-Gi-Oh! GX: Tag Force 3,PSP,2008,Konami Digital Entertainment,0,0.03,0.01
Lethal Enforcers I & II,PS,1996,Konami Digital Entertainment,0.02,0.01,0
The Cages: Pro Style Batting Practice,Wii,2010,Konami Digital Entertainment,0.01,0,0
The Legend of the Mystical Ninja,SNES,1991,Konami Digital Entertainment,0,0,0
Castlevania: Harmony of Dissonance,GBA,2002,Konami Digital Entertainment,0.16,0.06,0
No.1 Muscle Ranking - Kinniku Banzuke Vol. 2: Aratanarugenkai Enochousen!,PS,2000,Konami Digital Entertainment,0,0,0.01
Jikkyou Powerful Pro Yakyuu 2012,PS3,2012,Konami Digital Entertainment,0,0,0
GoPets: Vacation Island,DS,2008,Konami Digital Entertainment,0.03,0,0
Zone of the Enders HD Collection,X360,2012,Konami Digital Entertainment,0.14,0.03,0.02
Silent Hill: Origins,PSP,2007,Konami Digital Entertainment,0.22,0.15,0.1
Ou to Maou to 7-nin no Himegimitachi: Shin Ousama Monogatari,PSV,2012,Konami Digital Entertainment,0,0,0
Tennis no Oji-Sama: Genius Boys Academy,GBA,2002,Konami Digital Entertainment,0,0,0.01
Hayate no Gotoku! Ojousama Produce Daisakusen Boku Iro ni Somare! Gakkou-Hen,DS,2008,Konami Digital Entertainment,0,0,0
Hellboy: The Science of Evil,PSP,2008,Konami Digital Entertainment,0.04,0,0
Dance Dance Revolution Universe 2,X360,2007,Konami Digital Entertainment,0.46,0,0.04
Pro Yaky? Spirits 2012,PSP,2012,Konami Digital Entertainment,0,0,0
Hanayori Danshi: Koi Seyo Onago,DS,2008,Konami Digital Entertainment,0,0,0
Silent Hill: Book of Memories,PSV,2012,Konami Digital Entertainment,0.1,0.05,0.04
Tokimeki Memorial 2,PS,1999,Konami Digital Entertainment,0,0,0.03
Tennis no Oji-Sama: Driving Smash! Side King,DS,2008,Konami Digital Entertainment,0,0,0
J-League Jikkyou Winning Eleven 2000,PS,2000,Konami Digital Entertainment,0,0,0.01
Dance Dance Revolution SuperNOVA 2,PS2,2007,Konami Digital Entertainment,0.64,0.03,0.1
Pro Evolution Soccer 2013,PSP,2012,Konami Digital Entertainment,0,0.07,0.03
Pro Baseball Spirits 2015,PS3,2015,Konami Digital Entertainment,0,0,0
Whiteout,XB,2002,Konami Digital Entertainment,0.02,0.01,0
D.Gray-man: Sousha no Shikaku,PS2,2008,Konami Digital Entertainment,0,0,0
World Soccer Winning Eleven 9 (JP & Others sales),PSP,2005,Konami Digital Entertainment,0.01,0.88,0
ESPN NBA 2Night,PS2,2000,Konami Digital Entertainment,0.05,0.04,0.01
Jikkyou Powerful Pro Yakyuu 15,PS2,2008,Konami Digital Entertainment,0,0,0
Dance Dance Revolution: Disney Channel Edition,PS2,2008,Konami Digital Entertainment,0.12,0.09,0.03
Dance Dance Revolution Extreme 2,PS2,2005,Konami Digital Entertainment,0.95,0.04,0.16
No.1 Muscle Ranking - Kinniku Banzuke Vol. 1: Oregasaikyouno Otokoda!,PS,1999,Konami Digital Entertainment,0,0,0.02
Birds of Steel,PS3,2012,Konami Digital Entertainment,0.1,0.08,0.03
King Arthur,GC,2004,Konami Digital Entertainment,0.03,0.01,0
Super Castlevania IV,SNES,1991,Konami Digital Entertainment,0.32,0.05,0.01
Yu-Gi-Oh! The Eternal Duelist Soul (JP sales),GBA,2001,Konami Digital Entertainment,0,0,0.01
Metal Gear Solid: Portable Ops Plus,PSP,2007,Konami Digital Entertainment,0.26,0,0.17
Evolution Skateboarding,PS2,2002,Konami Digital Entertainment,0.13,0.1,0.03
Jikkyou Powerful Pro Yakyuu Wii,Wii,2007,Konami Digital Entertainment,0,0,0
Yu-Gi-Oh! Forbidden Memories,PS,1999,Konami Digital Entertainment,1.37,0.44,0.08
BeatMania IIDX 15: DJ Troopers,PS2,2008,Konami Digital Entertainment,0,0,0
Shugo Chara! Amunonijiro Chara Change,DS,2008,Konami Digital Entertainment,0,0,0
Magician's Quest: Town of Magic,3DS,2012,Konami Digital Entertainment,0,0,0
Ganbare Goemon 2: Kiteretsu Shougun Magginesu,SNES,1993,Konami Digital Entertainment,0,0,0
International Superstar Soccer '98,N64,1998,Konami Digital Entertainment,0.06,0.3,0.03
Dance Dance Revolution Extra Mix,PS,2001,Konami Digital Entertainment,0,0,0
Jimmie Johnson's Anything With an Engine,Wii,2011,Konami Digital Entertainment,0.07,0,0
DrumMania 7th Mix,PS2,2001,Konami Digital Entertainment,0,0,0
Shadow of Destiny,PS2,2001,Konami Digital Entertainment,0.09,0.07,0.02
ParaParaParadise,PS2,2001,Konami Digital Entertainment,0,0,0
Pro Evolution Soccer 2014,X360,2013,Konami Digital Entertainment,0.07,0.15,0.02
NHL Blades of Steel '99,N64,1999,Konami Digital Entertainment,0.05,0,0
J-League Winning Eleven 9: Asia Championship,PS2,2005,Konami Digital Entertainment,0,0,0
Guitar Freaks & DrumMania: Masterpiece Gold,PS2,2007,Konami Digital Entertainment,0,0,0
SAW,PC,2009,Konami Digital Entertainment,0,0.02,0
Jikkyou Powerful Pro Yakyuu 4,N64,1997,Konami Digital Entertainment,0,0,0.05
Winning Eleven: Pro Evolution Soccer 2007,PSP,2006,Konami Digital Entertainment,0.01,0.72,0.01
UEFA Euro 2016,PS4,2016,Konami Digital Entertainment,0,0.22,0.04
Konami Classics Vol. 2,X360,2009,Konami Digital Entertainment,0.01,0,0
Let's Pilates!,DS,2007,Konami Digital Entertainment,0.02,0,0
International Superstar Soccer 2000,PS2,2000,Konami Digital Entertainment,0,0,0
Monster Guardians,GBA,2001,Konami Digital Entertainment,0,0,0
Guitar Freaks V3 & DrumMania V3,PS2,2007,Konami Digital Entertainment,0,0,0
BeatMania Append 3rdMix,PS,1998,Konami Digital Entertainment,0,0,0.04
Jikkyou Powerful Pro Yakyuu '95,PS,1994,Konami Digital Entertainment,0,0,0.01
Jikkyou Powerful Pro Yakyuu Wii Ketteiban,Wii,2007,Konami Digital Entertainment,0,0,0
Pop'n Music Portable 2,PSP,2011,Konami Digital Entertainment,0,0,0
Firefighter F.D.18,PS2,2004,Konami Digital Entertainment,0.03,0.03,0.01
Metal Gear Solid: The Essential Collection (JP sales),PS2,2007,Konami Digital Entertainment,0,0,0
Yu-Gi-Oh! Worldwide Edition: Stairway to the Destined Duel,GBA,2003,Konami Digital Entertainment,0.68,0.25,0.02
PES 2009: Pro Evolution Soccer,PS2,2008,Konami Digital Entertainment,0.13,0.07,2.05
Castlevania: Lament of Innocence,PS2,2003,Konami Digital Entertainment,0.46,0.36,0.12
Deca Sports,Wii,2008,Konami Digital Entertainment,1.11,0.85,0.25
Jikkyou Powerful Pro Yakyuu '99 Kaimakuban,PS,1999,Konami Digital Entertainment,0,0,0.05
Yu-Gi-Oh! GX: The Beginning of Destiny (JP sales),PS2,2007,Konami Digital Entertainment,0,0,0
Pro Yaky? Spirits 2011,3DS,2011,Konami Digital Entertainment,0,0,0
Karaoke Revolution Volume 2,PS2,2004,Konami Digital Entertainment,0.11,0.09,0.03
Bottom of the 9th '99,PS,1998,Konami Digital Entertainment,0.03,0.02,0
Lucha Libre AAA: Heroes del Ring,X360,2010,Konami Digital Entertainment,0.05,0,0
NHL Blades of Steel 2000,PS,1999,Konami Digital Entertainment,0.02,0.01,0
Teenage Mutant Ninja Turtles,PS2,2003,Konami Digital Entertainment,0.45,0.35,0.12
Jikkyou Powerful Pro Yakyuu '98 Kaimakuban,PS,1998,Konami Digital Entertainment,0,0,0.04
Rengoku: The Tower of Purgatory,PSP,2005,Konami Digital Entertainment,0.1,0,0.01
Death Jr.,PSP,2005,Konami Digital Entertainment,0.17,0,0.01
Ganbare Goemon 3: Shishi Jyuurokubei no Karakuri Manji Katame,SNES,1994,Konami Digital Entertainment,0,0,0
Gormiti: The Lords of Nature!,DS,2010,Konami Digital Entertainment,0.05,0,0
Metal Gear Solid V: Ground Zeroes,PS3,2014,Konami Digital Entertainment,0.14,0.12,0.05
Parodius,PS,1994,Konami Digital Entertainment,0,0,0.02
Kartia: The Word of Fate,PS,1998,Konami Digital Entertainment,0.05,0.03,0.01
pro evolution soccer 2011,PS3,2010,Konami Digital Entertainment,0.29,1.17,0.41
Nisekoi: Yomeiri!?,PSV,2014,Konami Digital Entertainment,0,0,0
Frogger: Helmet Chaos,PSP,2005,Konami Digital Entertainment,0.1,0,0.01
Famicom Mini: Ganbare Goemon! Karakuri Douchuu,GBA,2004,Konami Digital Entertainment,0,0,0.01
Let's Yoga!,DS,2007,Konami Digital Entertainment,0,0,0
Pro Evolution Soccer,PS2,2001,Konami Digital Entertainment,0.06,0.9,0.27
DanceDanceRevolution,X360,2011,Konami Digital Entertainment,0.08,0,0.01
Metal Gear Solid: Peace Walker,PSP,2010,Konami Digital Entertainment,0.46,0.41,0.24
ESPN Great Outdoor Games Bass 2002,GBA,2001,Konami Digital Entertainment,0.03,0.01,0
Castlevania: Lords of Shadow 2,PS3,2014,Konami Digital Entertainment,0.03,0.12,0.03
Teenage Mutant Ninja Turtles 2: Battle Nexus,GC,2004,Konami Digital Entertainment,0.15,0.04,0.01
Saw II: Flesh & Blood,PS3,2010,Konami Digital Entertainment,0.1,0.06,0.02
Jimmie Johnson's Anything With an Engine,PS3,2011,Konami Digital Entertainment,0.07,0,0.01
Winning Eleven: Pro Evolution Soccer 2007 (All Region sales),X360,2006,Konami Digital Entertainment,0.08,0.9,0
Gokuhou!! Mecha Mote Iinchou: Girls Motekawa Box,DS,2009,Konami Digital Entertainment,0,0,0
Dance Dance Revolution SuperNOVA,PS2,2006,Konami Digital Entertainment,0.87,0.03,0.14
Jikkyou Powerful Pro Yakyuu 2011 Ketteiban,PS3,2011,Konami Digital Entertainment,0,0,0
NBA In The Zone '98,N64,1997,Konami Digital Entertainment,0.25,0.02,0
Fairy Tail: Portable Guild 2,PSP,2011,Konami Digital Entertainment,0,0,0
Metal Gear Solid: Portable Ops,PSP,2006,Konami Digital Entertainment,0.38,0.35,0.08
Pro Evolution Soccer 2010,PC,2009,Konami Digital Entertainment,0,0.01,0
Yu-Gi-Oh! The Eternal Duelist Soul,GBA,2001,Konami Digital Entertainment,1.64,0.36,0.07
Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Konami Digital Entertainment,2.63,1.71,0.82
World Soccer Winning Eleven 7,PS2,2003,Konami Digital Entertainment,0.12,0.09,0.03
Tennis no Oji-Sama Gyutto! DokiDoki Survival - Umi to Yama no Love Passion,DS,2011,Konami Digital Entertainment,0,0,0
Konami Classics Series: Arcade Hits,DS,2007,Konami Digital Entertainment,0.01,0,0
BeatMania IIDX 13: DistorteD,PS2,2007,Konami Digital Entertainment,0,0,0
Lost in Blue,DS,2005,Konami Digital Entertainment,0.07,0.02,0.01
Pop'n Music 14 Fever!,PS2,2007,Konami Digital Entertainment,0,0,0
Neo Contra,PS2,2004,Konami Digital Entertainment,0.1,0.08,0.03
Ant Nation,DS,2009,Konami Digital Entertainment,0.06,0.01,0.01
Ultimate Party Challenge,Wii,2009,Konami Digital Entertainment,0.07,0,0.01
Silent Scope Complete,XB,2004,Konami Digital Entertainment,0.07,0.02,0
Lunar Knights,DS,2006,Konami Digital Entertainment,0.17,0.01,0.01
Nagano Winter Olympics 98,N64,1997,Konami Digital Entertainment,0.15,0.04,0
Rumble Roses,PS2,2004,Konami Digital Entertainment,0.19,0.15,0.05
Karaoke Revolution Party,PS2,2005,Konami Digital Entertainment,0.15,0.12,0.04
Puzzle Chronicles,PSP,2010,Konami Digital Entertainment,0.07,0,0.01
Shounen Sunday x Shounen Magazine: Nettou! Dream Nine,DS,2009,Konami Digital Entertainment,0,0,0
Dance Dance Revolution X,PS2,2008,Konami Digital Entertainment,0.85,0.66,0.22
Jikkyou Powerful Pro Yakyuu Next,Wii,2009,Konami Digital Entertainment,0,0,0
Yu-Gi-Oh! Ultimate Masters: World Championship Tournament 2006,GBA,2006,Konami Digital Entertainment,0.14,0.05,0.01
Storybook Workshop,Wii,2009,Konami Digital Entertainment,0.06,0,0.01
Pro Yaky? Spirits 2013,PSP,2013,Konami Digital Entertainment,0,0,0
Pro Yaky? Spirits 2013,PS3,2013,Konami Digital Entertainment,0,0,0
Yu-Gi-Oh! 5D's World Championship 2011: Over the Nexus,DS,2011,Konami Digital Entertainment,0.1,0.03,0.01
Frogger 3D,3DS,2011,Konami Digital Entertainment,0.16,0.03,0.01
Yu-Gi-Oh! 5D's: Duel Transer,Wii,2010,Konami Digital Entertainment,0.11,0.02,0.01
Jikkyou Powerful Pro Yakyuu 2011,PSP,2011,Konami Digital Entertainment,0,0,0
ISS Pro Evolution,PS,1998,Konami Digital Entertainment,0,0,0.05
Winning Eleven: Pro Evolution Soccer 2007,DS,2006,Konami Digital Entertainment,0,0,0
NBA in the Zone 2000,PS,2000,Konami Digital Entertainment,0.12,0.08,0.01
NBA In The Zone '99,N64,1998,Konami Digital Entertainment,0.04,0,0
Jikkyou Powerful Pro Yakyuu 11,PS2,2004,Konami Digital Entertainment,0,0,0
Dance Dance Revolution Ultramix 2,XB,2004,Konami Digital Entertainment,0.32,0.09,0.02
Konami Classics Vol. 1,X360,2009,Konami Digital Entertainment,0.08,0,0.01
Dance Dance Revolution: Hottest Party 2,Wii,2008,Konami Digital Entertainment,0.94,0.48,0.15
Saw II: Flesh & Blood,X360,2010,Konami Digital Entertainment,0.1,0.04,0.01
J-League Winning Eleven 2009: Club Championship,PS2,2009,Konami Digital Entertainment,0,0,0
Yu-Gi-Oh! Double Pack,GBA,2006,Konami Digital Entertainment,0.2,0.08,0.01
Yu-Gi-Oh! The Sacred Cards,GBA,2002,Konami Digital Entertainment,0.94,0.35,0.02
Tornado Outbreak,X360,2009,Konami Digital Entertainment,0.07,0,0.01
Pop'n Music,Wii,2009,Konami Digital Entertainment,0.07,0,0.01
Jikkyou Powerful Major League 2009,PS2,2009,Konami Digital Entertainment,0,0,0
J-League Winning Eleven 10 + Europa League 06-07,PS2,2006,Konami Digital Entertainment,0,0,0
Yu-Gi-Oh! GX: Spirit Caller (American Sales),DS,2006,Konami Digital Entertainment,0.18,0.02,0.02
Jikkyou Powerful Major League,PS2,2006,Konami Digital Entertainment,0,0,0
Tokimeki Memorial 4,PSP,2009,Konami Digital Entertainment,0,0,0
Senritsu no Stratus,PSP,2011,Konami Digital Entertainment,0,0,0
Pro Evolution Soccer 2015,PS3,2014,Konami Digital Entertainment,0.1,0.2,0.06
Teenage Mutant Ninja Turtles II: Back from the Sewers,GB,1991,Konami Digital Entertainment,0,0,0
Castlevania: Curse of Darkness,XB,2005,Konami Digital Entertainment,0.09,0.03,0
Castlevania: Portrait of Ruin,DS,2006,Konami Digital Entertainment,0.31,0.02,0.03
Jikkyou Powerful Major League 2009,Wii,2009,Konami Digital Entertainment,0,0,0
World Soccer Winning Eleven 6 International,PS2,2002,Konami Digital Entertainment,0.12,1.26,0.45
Jikkyou Powerful Pro Yakuu '94,SNES,1994,Konami Digital Entertainment,0,0,0
PES 2009: Pro Evolution Soccer,PS3,2008,Konami Digital Entertainment,0.11,1.33,0.26
Jikkyou Powerful Pro Yakyuu 2014,PSV,2014,Konami Digital Entertainment,0,0,0
World Soccer Winning Eleven 9,PS2,2005,Konami Digital Entertainment,0.12,2.26,0.77
Sunday vs Magazine Shuuketsu! Choujou Daikessen,PSP,2009,Konami Digital Entertainment,0,0,0
Teenage Mutant Ninja Turtles 3: Mutant Nightmare,GC,2005,Konami Digital Entertainment,0.09,0.02,0
Pro Evolution Soccer 2012,PS2,2011,Konami Digital Entertainment,0,0,0
Yu-Gi-Oh! The Duelists of the Roses,PS2,2001,Konami Digital Entertainment,1.16,0.91,0.3
Frogger Beyond,XB,2002,Konami Digital Entertainment,0.06,0.02,0
Tokimeki Memorial Girl's Side 1st Love Plus,DS,2009,Konami Digital Entertainment,0,0,0
Jikkyou Powerful Pro Yakyuu 12 Ketteiban,PS2,2005,Konami Digital Entertainment,0,0,0
Hayate no Gotoku! Nightmare Paradise,PSP,2009,Konami Digital Entertainment,0,0,0
Teenage Mutant Ninja Turtles II: The Arcade Game,NES,1990,Konami Digital Entertainment,1.74,0.25,0.03
World Soccer Winning Eleven 2010: Aoki Samurai no Chousen,PSP,2010,Konami Digital Entertainment,0,0,0
Teenage Mutant Ninja Turtles 2: Battle Nexus,GBA,2004,Konami Digital Entertainment,0.23,0.09,0.01
J-League Winning Eleven 2010: Club Championship,PS2,2010,Konami Digital Entertainment,0,0,0
Castlevania Chronicles,PS,2001,Konami Digital Entertainment,0.07,0.05,0.01
Wallace & Gromit: Curse of the Were-Rabbit,PS2,2005,Konami Digital Entertainment,0.06,0.05,0.02
Suikoden II,PS,1998,Konami Digital Entertainment,0.15,0.1,0.04
Karaoke Revolution Volume 3,PS2,2004,Konami Digital Entertainment,0.16,0.12,0.04
Elebits,Wii,2006,Konami Digital Entertainment,0.22,0.01,0.02
Winning Eleven: Pro Evolution Soccer 2007,PS2,2006,Konami Digital Entertainment,0.1,2.39,0.86
Pro Evolution Soccer 2017,X360,2016,Konami Digital Entertainment,0.01,0.02,0
Yu-Gi-Oh! The Dawn of Destiny,XB,2004,Konami Digital Entertainment,0.23,0.07,0.01
Powerful Golf,DS,2011,Konami Digital Entertainment,0,0,0
BeatMania IIDX 16: Empress + Premium Best,PS2,2009,Konami Digital Entertainment,0,0,0
Ganbare Goemon: KiraKira Douchuu - Boku ga Dancer ni Natta Riyuu,SNES,1995,Konami Digital Entertainment,0,0,0
Jikkyou Powerful Pro Yakyuu 13,PS2,2006,Konami Digital Entertainment,0,0,0
Suikoden V,PS2,2006,Konami Digital Entertainment,0.08,0.06,0.02
Ookami Kakushi,PSP,2009,Konami Digital Entertainment,0,0,0
Teenage Mutant Ninja Turtles 2: Battle Nexus,XB,2004,Konami Digital Entertainment,0.1,0.03,0
NANA: Live Staff Daiboshuu! Shoshinsha Kangei,DS,2007,Konami Digital Entertainment,0,0,0
World Soccer Winning Eleven 9 (US sales),PSP,2005,Konami Digital Entertainment,0.05,0,0
pro evolution soccer 2011,Wii,2010,Konami Digital Entertainment,0.07,0.1,0.02
Busou Shinki: Battle Masters Mk. 2,PSP,2011,Konami Digital Entertainment,0,0,0
Shaman King: Power of Spirit,PS2,2004,Konami Digital Entertainment,0.06,0.05,0.02
Silent Hill 2,PS2,2001,Konami Digital Entertainment,0.62,0.49,0.16
Jikkyou Powerful Pro Yakyuu 2013,PS3,2013,Konami Digital Entertainment,0,0,0
Yu-Gi-Oh: Duel Monsters 4,GB,2000,Konami Digital Entertainment,0,0,0.01
Shonen Jump's Shaman King: Legacy of the Spirits - Soaring Hawk/Sprinting Wolf,GBA,2005,Konami Digital Entertainment,0.04,0.02,0
